,address_lat,address_lng,contributors,currency,loan_identifier,monthLastUpdate,name,prices,yearLastUpdate
149,40.462547,-80.054547,130,USD,2EWWG64HXS,1,"Pittsburgh, PA, United States",2433.57884615,2016
150,48.99282,8.394117,41,EUR,FZ9K331X3,12,"Karlsruhe, Germany",2125.334,2015
151,35.837901,50.992994,11,USD,1X9NP9405M,12,"Karaj, Iran",775.0,2015
152,38.534324,-122.808062,31,USD,1RHVSX3WZW,12,"Santa Rosa, CA, United States",3866.66666667,2015
153,32.067319,34.781028,197,ILS,2D549Q4EPH,1,"Tel Aviv-yafo, Israel",7480.0,2016
154,12.937828,80.151819,4,INR,24GGDT44FV,12,"Madras, India",23500.0,2015
155,34.064353,-118.375347,4,USD,15GPJ33D9Z,11,"West Hollywood, CA, United States",3900.0,2015
156,40.145035,-76.215697,19,USD,1QFMMS3VY3,12,"Lancaster, PA, United States",2350.0,2015
157,-22.798647,-43.180841,25,BRL,255EMV44SR,12,"Niteroi, Brazil",3333.33333333,2015
158,-6.221791,106.891523,220,IDR,1ND1HX3S9E,12,"Jakarta, Indonesia",6064285.71429,2015
159,28.577422,77.309,56,INR,26M2VA45H4,12,"Noida, India",31800.0,2015
160,40.713473,-73.944737,548,USD,1NFZ313SC8,1,"New York, NY, United States",3471.96752343,2016
161,45.757691,22.940111,11,RON,1WBTYM3ZPF,12,"Deva, Romania",1616.66666667,2015
162,19.205158,72.834045,8,INR,2E4SRQ4GQE,12,"Yamuna Nagar, India",14250.0,2015
163,-25.443494,-49.056411,127,BRL,1P23M33T3D,1,"Curitiba, Brazil",1675.0,2016
164,35.629098,-97.604624,78,USD,1ARDQ93GEB,12,"Oklahoma City, OK, United States",2198.0,2015
165,-25.443494,-49.056411,127,BRL,2399EZ43P9,1,"Curitiba, Brazil",1675.0,2016
166,-7.255091,112.71331,40,IDR,26NEAY45HT,1,"Surabaya, Indonesia",3926000.0,2016
167,11.060426,76.973628,69,INR,1YQPGB40WS,12,"Coimbatore, India",20863.6363636,2015
168,32.555602,-84.902136,25,USD,1Z5061412P,12,"Columbus, GA, United States",1499.66666667,2015
169,56.945316,24.115333,176,EUR,229V9G42YW,1,"Riga, Latvia",619.9375,2016
170,31.559707,-97.190087,19,USD,1CCSV63HKP,12,"Waco, TX, United States",2381.575,2015
171,25.456048,-100.99027,13,MXN,2C9QBK4CSV,9,"Saltillo, Mexico",7454.0,2015
172,40.66202,-73.924723,64,USD,2F2XT34J8A,12,"Brooklyn, NY, United States",3337.5,2015
173,40.561848,-111.850968,100,USD,1DVEX63JJJ,1,"Salt Lake City, UT, United States",3354.39,2016
174,-6.261709,106.959906,8,IDR,1SR28E3Y3F,11,"Bekasi, Indonesia",5977500.0,2015
175,32.555602,-84.902136,25,USD,1YE27A40QD,12,"Columbus, GA, United States",1499.66666667,2015
176,53.584482,-2.393858,10,GBP,1J0Y3K3NXV,10,"Bolton, United Kingdom",1498.25,2015
177,45.483101,9.235804,233,EUR,1GD5T23M9J,1,"Milan, Italy",1659.54157895,2016
178,51.550954,-1.781141,22,GBP,20V8D6421S,12,"Swindon, United Kingdom",1649.39,2015
179,-25.674133,28.211663,89,ZAR,2CT1T34E25,12,"Pretoria, South Africa",22390.6470588,2015
180,53.773415,-1.54316,96,GBP,M4TAR3488,1,"Leeds, United Kingdom",1659.33333333,2016
181,28.872807,-81.246436,9,USD,2EKAFS4HGP,12,"Deltona, FL, United States",1700.0,2015
182,35.97069,-86.602268,15,USD,13V1943CNP,12,"Murfreesboro, TN, United States",2491.53333333,2015
183,50.343577,7.56679,9,EUR,KJ4NW3478,9,"Koblenz, Germany",2766.66666667,2015
184,-6.261709,106.959906,8,IDR,1HJT313NCZ,11,"Bekasi, Indonesia",5977500.0,2015
185,46.883389,-71.296911,88,CAD,1R3XDZ3WJW,1,"Quebec City, Canada",2811.64814815,2016
186,43.596659,-79.708893,82,CAD,1VMHM53ZAT,1,"Mississauga, Canada",2250.11111111,2016
187,37.977133,23.729875,474,EUR,1PYN023V38,1,"Athens, Greece",717.856953125,2016
188,46.2977,16.344015,16,HRK,1S1WB93XMD,12,"Varazdin, Croatia",4200.0,2015
189,13.072373,80.199958,4,INR,1SKKSK3XZH,12,"Madras, India",23500.0,2015
190,52.540658,13.417918,310,EUR,FMQ7X31WD,1,"Berlin, Germany",1854.6,2016
191,-7.238452,112.734996,40,IDR,1CRBE13HTZ,1,"Surabaya, Indonesia",3926000.0,2016
192,40.713473,-73.944737,548,USD,1M5JVD3QR0,1,"New York, NY, United States",3471.96752343,2016
193,45.155556,26.806823,10,RON,29Z85P48M8,12,"Buzau, Romania",1410.0,2015
194,35.837901,50.992994,11,USD,1XAPDJ4064,12,"Karaj, Iran",775.0,2015
195,18.956946,72.817666,520,INR,2C62C74CE6,1,"Mumbai, India",45108.4596842,2016
196,19.205158,72.834045,8,INR,2F9Q954JHR,12,"Yamuna Nagar, India",14250.0,2015
197,36.101031,-79.820668,35,USD,1YG8C140RJ,12,"Greensboro, NC, United States",3302.83333333,2015
198,32.067319,34.781028,197,ILS,19EWXF3FF5,1,"Tel Aviv-yafo, Israel",7480.0,2016
199,52.510964,13.304994,310,EUR,19VCY23FRS,1,"Berlin, Germany",1854.6,2016
200,-8.068811,-34.930926,64,BRL,GHJ1Y31YA,12,"Recife, Brazil",1808.75,2015
201,-31.447017,-64.188017,18,USD,1WEC5E3ZQD,1,"Cordoba, Argentina",898.6,2016
202,55.750309,24.34544,10,EUR,2B93FV4AP3,7,"Panevezys, Lithuania",442.704711601,2015
203,-43.546061,172.666936,110,NZD,19E8393FEH,12,"Christchurch, New Zealand",2811.11111111,2015
204,-1.303468,36.774764,102,KES,S3AN134R8,12,"Nairobi, Kenya",28597.0,2015
205,47.511145,18.990685,426,HUF,1Y8YAJ40MP,1,"Budapest, Hungary",170539.485486,2016
